id,title,overview,genres,vote_average,vote_count,release_date,original_language,popularity,adult,runtime,budget,revenue,cast,director,keywords,poster_url
1637,Speed,"Jack Traven, an LAPD cop on SWAT detail, and veteran SWAT officer Harry Temple thwart an extortionist-bomber's scheme for a $3 million ransom. As they corner the bomber, he flees and detonates a bomb vest, seemingly killing himself. Weeks later, Jack witnesses a mass transit city bus explode and nearby a pay phone rings. On the phone is that same bomber looking for vengeance and the money he's owed. He gives a personal challenge to Jack: a bomb is rigged on another city bus - if it slows down below 50 mph, it will explode - bad enough any day, but a nightmare in LA traffic. And that's just the beginning...","['Action', 'Thriller']",7.141,6326,1994-06-09,en,8.3253,False,116,30000000,350448145,"['Keanu Reeves', 'Dennis Hopper', 'Sandra Bullock', 'Joe Morton', 'Jeff Daniels']",Jan de Bont,"['s.w.a.t.', 'bomber', 'bus bomb', 'los angeles, california', 'falling elevator', 'bomb planting', 'lapd', 'trapped in an elevator', 'subway train', 'bomb explosion', 'ransom demand', 'extortionist', 'santa monica, california', 'life or death', 'bomb vest', 'city bus', 's.w.a.t. officer', 'dead man switch', 'bus passengers', 'trapped in a vehicle']",https://image.tmdb.org/t/p/w500/82PkCE4R95KhHICUDF7G4Ly2z3l.jpg
105864,The Good Dinosaur,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,"['Adventure', 'Animation', 'Family']",6.732,5634,2015-11-14,en,8.3216,False,93,175000000,332207671,"['Frances McDormand', 'Raymond Ochoa', 'Jeffrey Wright', 'Steve Zahn', 'Sam Elliott']",Peter Sohn,"['friendship', 'tyrannosaurus rex', 'cartoon', 'villain', 'friends', 'alternate history', 'dinosaur', 'fear', 'storm', 'nature', 'journey']",https://image.tmdb.org/t/p/w500/8RSkxOO80btfKjyiC5ZiTaCHIT8.jpg
2501,The Bourne Identity,"Wounded to the brink of death and suffering from amnesia, Jason Bourne is rescued at sea by a fisherman. With nothing to go on but a Swiss bank account number, he starts to reconstruct his life, but finds that many people he encounters want him dead. However, Bourne realizes that he has the combat and mental skills of a world-class spy—but who does he work for?","['Action', 'Drama', 'Mystery', 'Thriller']",7.467,9442,2002-06-14,en,8.3105,False,119,60000000,214034224,"['Matt Damon', 'Franka Potente', 'Chris Cooper', 'Clive Owen', 'Brian Cox']",Doug Liman,"['sniper', 'assassin', 'amnesia', 'paris, france', 'based on novel or book', 'escape', 'barcelona, spain', 'secret identity', 'passport', 'mission of murder', 'lovers', 'flashback', 'shootout', 'foot chase', 'cell phone', 'multiple identities', 'surveillance camera', 'hamburg, germany', 'fishing boat', 'langley virginia', 'safe deposit box', 'hand to hand combat', 'action hero', 'bourne', 'jason bourne', 'intense', 'powerful']",https://image.tmdb.org/t/p/w500/aP8swke3gmowbkfZ6lmNidu0y9p.jpg
10386,The Iron Giant,"In the small town of Rockwell, Maine in October 1957, a giant metal machine befriends a nine-year-old boy and ultimately finds its humanity by unselfishly saving people from their own fears and prejudices.","['Family', 'Animation', 'Science Fiction', 'Adventure']",7.949,5719,1999-08-06,en,8.3038,False,86,50000000,23300000,"['Jennifer Aniston', 'Harry Connick Jr.', 'Vin Diesel', 'James Gammon', 'Cloris Leachman']",Brad Bird,"['friendship', 'small town', 'based on novel or book', 'self sacrifice', 'cold war', 'villain', 'alien', 'meteorite', 'giant robot', 'autumn', 'fear of unknown', '1950s', 'mother son relationship', 'awestruck', 'euphoric', 'hopeful']",https://image.tmdb.org/t/p/w500/ct04FCFLPImNG5thcPLRnVsZlmS.jpg
388,Inside Man,"When an armed, masked gang enter a Manhattan bank, lock the doors and take hostages, the detective assigned to effect their release enters negotiations preoccupied with corruption charges he is facing.","['Crime', 'Drama', 'Thriller']",7.395,5920,2006-03-17,en,8.3013,False,129,45000000,186003591,"['Denzel Washington', 'Clive Owen', 'Jodie Foster', 'Christopher Plummer', 'Willem Dafoe']",Spike Lee,"['new york city', 'nazi', 'court case', 'kidnapping', 'hostage', 'bank', 'bank manager', 'ultimatum', 'heist', 'anti-semitism', 'police detective', 'bank robbery', 'hostage situation', 'financial transactions', 'bank vault', 'dark past', 'manhattan, new york city', 'secret past', 'crooked banker', 'secret', 'public figure']",https://image.tmdb.org/t/p/w500/ffMUgkDZICNiyaws1Jkv8qG8uFW.jpg
598,City of God,"In the poverty-stricken favelas of Rio de Janeiro in the 1970s, two young men choose different paths. Rocket is a budding photographer who documents the increasing drug-related violence of his neighborhood, while José “Zé” Pequeno is an ambitious drug dealer diving into a dangerous life of crime.","['Drama', 'Crime']",8.427,7581,2002-08-30,pt,8.2955,False,129,3300000,30641770,"['Alexandre Rodrigues', 'Leandro Firmino', 'Phellipe Haagensen', 'Douglas Silva', 'Jonathan Haagensen']",Fernando Meirelles,"['street gang', 'photographer', 'gangster', 'rio de janeiro', 'gang war', 'ghetto', 'coming of age', 'introspective', 'brazilian cinema', 'critical', 'tense', 'conceited', 'sincere', 'based on real events']",https://image.tmdb.org/t/p/w500/k7eYdWvhYQyRQoU2TB2A2Xu2TfD.jpg
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,"This time around Edmund and Lucy Pevensie, along with their pesky cousin Eustace Scrubb find themselves swallowed into a painting and on to a fantastic Narnian ship headed for the very edges of the world.","['Adventure', 'Family', 'Fantasy']",6.4,5639,2010-12-02,en,8.2878,False,113,155000000,415686217,"['Georgie Henley', 'Skandar Keynes', 'Ben Barnes', 'Will Poulter', 'Anna Popplewell']",Michael Apted,"['epic', 'based on novel or book', 'magic', 'lion', 'anthropomorphism', 'dragon', 'king', 'fantasy world', 'snowing', 'sea voyage', 'quest', 'high fantasy', 'isekai', 'father son relationship', 'brother sister relationship', 'turned into animal', 'based on young adult novel', 'good versus evil']",https://image.tmdb.org/t/p/w500/pP27zlm9yeKrCeDZLFLP2HKELot.jpg
9919,How to Lose a Guy in 10 Days,"It's the battle of wills, as Andie needs to prove she can dump a guy in 10 days, whereas Ben needs to prove he can win a girl in 10 days. Now, the clock is ticking—and the wildly entertaining comedy smash is off and running in this irresistible tale of sex, lies and outrageous romantic fireworks!","['Comedy', 'Romance']",6.819,4099,2003-02-07,en,8.2871,False,116,50000000,177500000,"['Kate Hudson', 'Matthew McConaughey', 'Kathryn Hahn', 'Annie Parisse', 'Adam Goldberg']",Donald Petrie,"['bet', 'new york city', 'journalist', 'therapist', 'advertising expert', 'romcom', 'basketball', 'relationship', 'advice columnist', 'group of friends', 'battle of the sexes', 'relationship sabotage', 'ulterior motive dating', 'hilarious', 'romantic', 'comforting', ""women's magazine"", 'new york knicks', 'meet the family']",https://image.tmdb.org/t/p/w500/2dlftyPz7mTYbrsPvTogyFmYd7d.jpg
972614,Knox Goes Away,"A contract killer, after being diagnosed with a fast-moving form of dementia, is presented with the opportunity to redeem himself by saving the life of his estranged adult son. But to do so, he must race against the police closing in on him as well as the ticking clock of his own rapidly deteriorating mind.","['Action', 'Crime', 'Thriller']",6.948,376,2024-03-15,en,8.284,False,114,963703,0,"['Michael Keaton', 'Al Pacino', 'Marcia Gay Harden', 'James Marsden', 'Suzy Nakamura']",Michael Keaton,"['hitman', 'investigation', 'dementia', 'police investigation', 'father daughter conflict', 'father son relationship', 'job gone wrong']",https://image.tmdb.org/t/p/w500/w39qKYjltCix18BwtoZ1e45usdb.jpg
142,Brokeback Mountain,"In 1960s Wyoming, two men develop a strong emotional and sexual relationship that endures as a lifelong connection complicating their lives as they get married and start families of their own.","['Drama', 'Romance']",7.784,7113,2005-10-22,en,8.278,False,134,14000000,178043761,"['Heath Ledger', 'Jake Gyllenhaal', 'Michelle Williams', 'Anne Hathaway', 'Randy Quaid']",Ang Lee,"['secret love', 'wyoming, usa', 'countryside', 'homophobia', 'marriage crisis', 'intolerance', 'in the closet', 'summer', 'cowboy', 'lgbt', 'star crossed lovers', '1960s', 'closeted homosexual', 'gay romance', 'gay theme', 'gay relationship', ""boys' love (bl)"", 'melodramatic']",https://image.tmdb.org/t/p/w500/aByfQOQBNa4CMFwIgq3QrqY2ZHh.jpg
